Creation Date,Status,Completion Date,Service Request Number,Type of Service Request,What is the Nature of this Code Violation?,Street Address,ZIP Code,X Coordinate,Y Coordinate,Ward,Police District,Community Area,Latitude,Longitude,Location
01/08/2013,Completed,01/09/2013,13-00028124,Sanitation Code Violation,Standing water,549 W RANDOLPH ST,60661,1172640.55569014,1901237.94261382,42,1,28,41.88443634568566,-87.64149606994584,"(41.88443634568566, -87.64149606994584)"
01/11/2013,Completed,01/16/2013,13-00045820,Sanitation Code Violation,Standing water,1513 E 73RD ST,60619,1187601.94497259,1856889.265586,5,3,43,41.762396794538496,-87.5879696395902,"(41.762396794538496, -87.5879696395902)"
01/19/2013,Completed,02/08/2013,13-00075616,Sanitation Code Violation,Standing water,4737 N MONTICELLO AVE,60625,1151199.86016671,1931233.91133385,33,17,14,41.967195202289496,-87.71944070756797,"(41.967195202289496, -87.71944070756797)"
01/28/2013,Completed,01/29/2013,13-00106913,Sanitation Code Violation,Standing water,15 N CLARK ST,60602,1175533.5955695,1900496.33088607,42,1,32,41.88233682800111,-87.6308948520028,"(41.88233682800111, -87.6308948520028)"
02/10/2013,Completed,02/11/2013,13-00157736,Sanitation Code Violation,Standing water,1624 W EDGEWATER AVE,60660,1164415.97776595,1938157.38646764,40,20,77,41.9859233342359,-87.67064971068547,"(41.9859233342359, -87.67064971068547)"
02/12/2013,Completed,02/13/2013,13-00165941,Sanitation Code Violation,Standing water,1624 W EDGEWATER AVE,60660,1164415.97776595,1938157.38646764,40,20,77,41.9859233342359,-87.67064971068547,"(41.9859233342359, -87.67064971068547)"
03/03/2013,Completed,03/06/2013,13-00239908,Sanitation Code Violation,Standing water,6553 S RICHMOND ST,60629,1157842.08362481,1861038.67940991,15,8,66,41.77443926079903,-87.6969314971171,"(41.77443926079903, -87.6969314971171)"
03/11/2013,Completed,03/12/2013,13-00268368,Sanitation Code Violation,Standing water,2817 W HOWARD ST,60645,1156353.35652969,1950266.4268109,50,24,2,42.019318367923724,-87.69997426915508,"(42.019318367923724, -87.69997426915508)"
03/11/2013,Completed,03/12/2013,13-00270456,Sanitation Code Violation,Standing water,3013 N WOLCOTT AVE,60657,1163148.14088148,1920078.32569443,32,19,5,41.936340387809224,-87.67582297818663,"(41.936340387809224, -87.67582297818663)"
03/20/2013,Completed,03/22/2013,13-00316959,Sanitation Code Violation,Standing water,6457 N NEVA AVE,60631,1127892.20669271,1942832.28988653,41,16,10,41.999448583031466,-87.80487853402408,"(41.999448583031466, -87.80487853402408)"
03/25/2013,Completed,03/28/2013,13-00333632,Sanitation Code Violation,Standing water,11347 S GREEN BAY AVE,60617,1200577.08842791,1830323.8782847,10,4,52,41.689180970253965,-87.54131079936369,"(41.689180970253965, -87.54131079936369)"
04/08/2013,Completed,04/08/2013,13-00392867,Sanitation Code Violation,Standing water,2544 N SPAULDING AVE,60647,1153646.01381124,1916718.56922565,35,14,22,41.92731562221903,-87.71083406864201,"(41.92731562221903, -87.71083406864201)"
04/08/2013,Completed,04/10/2013,13-00393026,Sanitation Code Violation,Standing water,3305 N LAKE SHORE DR,60657,1172885.67060894,1922342.41022531,44,19,6,41.942342606547754,-87.63996947260365,"(41.942342606547754, -87.63996947260365)"
04/11/2013,Completed,04/12/2013,13-00411607,Sanitation Code Violation,Standing water,5249 W IRVING PARK RD,60641,1140647.83943212,1926091.83543115,38,16,15,41.953285801640256,-87.75836653631156,"(41.953285801640256, -87.75836653631156)"
04/09/2013,Completed,04/12/2013,13-00404709,Sanitation Code Violation,Standing water,5350 W IRVING PARK RD,60641,1140309.48949156,1926084.38031069,38,16,15,41.95327156634037,-87.75961053843194,"(41.95327156634037, -87.75961053843194)"
03/26/2013,Completed,04/12/2013,13-00341412,Sanitation Code Violation,Standing water,6700 W DIVERSEY AVE,60707,1131270.97462731,1917877.87243389,36,25,18,41.93091320547199,-87.79302758783199,"(41.93091320547199, -87.79302758783199)"
04/16/2013,Completed,04/16/2013,13-00434768,Sanitation Code Violation,Standing water,625 S WELLS ST,60607,1174815.13110864,1897520.06792302,2,1,32,41.874185885771574,-87.63362213162148,"(41.874185885771574, -87.63362213162148)"
04/16/2013,Completed,04/17/2013,13-00433108,Sanitation Code Violation,Standing water,7642 N BOSWORTH AVE,60626,1164634.69000777,1950620.97896794,49,24,1,42.020119064901984,-87.66948987437564,"(42.020119064901984, -87.66948987437564)"
04/18/2013,Completed,04/18/2013,13-00445973,Sanitation Code Violation,Standing water,5342 N NATOMA AVE,60656,1131260.04090703,1935195.14029894,41,16,10,41.97843384314168,-87.79266628195408,"(41.97843384314168, -87.79266628195408)"
04/18/2013,Completed,04/19/2013,13-00448716,Sanitation Code Violation,Standing water,827 N LOCKWOOD AVE,60651,1140871.64652052,1905001.95381705,37,15,25,41.89540881015438,-87.75806390989393,"(41.89540881015438, -87.75806390989393)"
04/18/2013,Completed,04/22/2013,13-00446839,Sanitation Code Violation,Standing water,1930 W PATTERSON AVE,60613,1162825.88219171,1924254.78981208,47,19,5,41.9478076139343,-87.6768897688282,"(41.9478076139343, -87.6768897688282)"
04/22/2013,Completed,04/25/2013,13-00470095,Sanitation Code Violation,Standing water,13066 S DREXEL AVE,60827,1184664.5828982,1818785.79453258,9,5,54,41.65790557514329,-87.59992482911701,"(41.65790557514329, -87.59992482911701)"
04/30/2013,Completed,05/03/2013,13-00510297,Sanitation Code Violation,Standing water,2310 N SPAULDING AVE,60647,1153768.11432005,1915160.35548756,35,14,22,41.923037323081545,-87.7104269917306,"(41.923037323081545, -87.7104269917306)"
04/22/2013,Completed,05/06/2013,13-00470095,Sanitation Code Violation,Standing water,13066 S DREXEL AVE,60827,1184664.5828982,1818785.79453258,9,5,54,41.65790557514329,-87.59992482911701,"(41.65790557514329, -87.59992482911701)"
04/18/2013,Completed,05/10/2013,13-00447790,Sanitation Code Violation,Standing water,11634 S MAY ST,60643,1170750.45277204,1827643.38917684,34,5,53,41.68252593680299,-87.65058258579127,"(41.68252593680299, -87.65058258579127)"
04/28/2013,Completed,05/10/2013,13-00500333,Sanitation Code Violation,Standing water,8300 S ST LOUIS AVE,60652,1154498.36032641,1849331.232878,18,8,70,41.74237938775107,-87.70950035668731,"(41.74237938775107, -87.70950035668731)"
05/15/2013,Completed,05/17/2013,13-00586558,Sanitation Code Violation,Standing water,3655 N PITTSBURGH AVE,60634,1120421.1096893,1923261.81259095,36,16,17,41.94586815347888,-87.83278406018506,"(41.94586815347888, -87.83278406018506)"
04/18/2013,Completed,05/17/2013,13-00446791,Sanitation Code Violation,Standing water,3454 N JANSSEN AVE,60657,,,44,19,6,,,
05/17/2013,Completed,05/24/2013,13-00598792,Sanitation Code Violation,Standing water,3639 N OCONTO AVE,60634,1127099.93710184,1923289.09122008,36,16,17,41.945833357485505,-87.80823382027009,"(41.945833357485505, -87.80823382027009)"
05/27/2013,Completed - Dup,05/28/2013,13-00640470,Sanitation Code Violation,Standing water,6538 N CAMPBELL AVE,60645,1158466.51056618,1943315.40488086,50,24,2,42.000201373019905,-87.69238961020594,"(42.000201373019905, -87.69238961020594)"
05/27/2013,Completed,05/28/2013,13-00640469,Sanitation Code Violation,Standing water,6538 N CAMPBELL AVE,60645,1158466.51056618,1943315.40488086,50,24,2,42.000201373019905,-87.69238961020594,"(42.000201373019905, -87.69238961020594)"
05/29/2013,Completed - Dup,05/30/2013,13-00655825,Sanitation Code Violation,Standing water,4730 S LAMON AVE,60638,1144488.5866774,1872822.60982714,23,8,56,41.80703703547421,-87.7455885303114,"(41.80703703547421, -87.7455885303114)"
05/22/2013,Completed,05/30/2013,13-00622697,Sanitation Code Violation,Standing water,4851 N DRAKE AVE,60625,1151842.31742777,1932005.75738141,39,17,14,41.96930054168235,-87.71705804090115,"(41.96930054168235, -87.71705804090115)"
05/21/2013,Completed,05/30/2013,13-00617554,Sanitation Code Violation,Standing water,4141 N KEELER AVE,60641,1147662.92547576,1927192.59079044,39,17,16,41.95617431838494,-87.73254988445731,"(41.95617431838494, -87.73254988445731)"
06/01/2013,Completed,06/03/2013,13-00676837,Sanitation Code Violation,Standing water,4829 N CLAREMONT AVE,60625,1159824.44011594,1932015.10660805,47,20,4,41.96916488935769,-87.6877074501134,"(41.96916488935769, -87.6877074501134)"
05/30/2013,Completed,06/03/2013,13-00664296,Sanitation Code Violation,Standing water,10913 S AVENUE L,60617,1201867.23278302,1833205.65149523,10,4,52,41.69705616628879,-87.53649012951051,"(41.69705616628879, -87.53649012951051)"
06/04/2013,Completed,06/05/2013,13-00696378,Sanitation Code Violation,Standing water,4933 W NEWPORT AVE,60641,1142849.84976681,1922484.48681576,38,16,15,41.943346085533086,-87.75036186503344,"(41.943346085533086, -87.75036186503344)"
06/02/2013,Completed,06/05/2013,13-00678341,Sanitation Code Violation,Standing water,3128 W WALTON ST,60622,1155306.42796843,1906164.59540269,26,12,23,41.89832138326337,-87.70501680686738,"(41.89832138326337, -87.70501680686738)"
06/03/2013,Completed,06/06/2013,13-00685547,Sanitation Code Violation,Standing water,3044 N OLCOTT AVE,60707,1125560.44211078,1919396.02428597,36,25,17,41.93517604029331,-87.81397929230997,"(41.93517604029331, -87.81397929230997)"
05/21/2013,Completed,06/07/2013,13-00616254,Sanitation Code Violation,Standing water,7329 S CLAREMONT AVE,60636,1162005.81293308,1856003.38881907,18,8,66,41.76053614303958,-87.6818077086656,"(41.76053614303958, -87.6818077086656)"
06/09/2013,Completed,06/10/2013,13-00721201,Sanitation Code Violation,Standing water,3447 W MONTROSE AVE,60618,1152514.54948141,1929025.78519779,33,17,16,41.961110009715526,-87.7146653473364,"(41.961110009715526, -87.7146653473364)"
05/18/2013,Completed,06/10/2013,13-00601314,Sanitation Code Violation,Standing water,7804 S LOWE AVE,60620,1173320.17722771,1853121.48721239,17,6,71,41.75238521152541,-87.64042525128222,"(41.75238521152541, -87.64042525128222)"
06/10/2013,Completed,06/12/2013,13-00724326,Sanitation Code Violation,Standing water,1229 W FOSTER AVE,60640,1167060.76013057,1934672.82717161,46,20,3,41.97630504046615,-87.66102295083651,"(41.97630504046615, -87.66102295083651)"
06/15/2013,Completed,06/17/2013,13-00762890,Sanitation Code Violation,Standing water,1925 W HIGHLAND AVE,60660,1162330.28061792,1942020.09537933,50,24,2,41.9965667607612,-87.67821212031065,"(41.9965667607612, -87.67821212031065)"
06/12/2013,Completed,06/17/2013,13-00742660,Sanitation Code Violation,Standing water,5924 S MENARD AVE,60638,1138737.29262192,1864693.32509803,13,8,64,41.78483487425204,-87.76687936340049,"(41.78483487425204, -87.76687936340049)"
06/09/2013,Completed,06/17/2013,13-00722145,Sanitation Code Violation,Standing water,3934 N HAMILTON AVE,60618,1161322.18081303,1926102.51231682,47,19,5,41.95290933479171,-87.68236543133723,"(41.95290933479171, -87.68236543133723)"
06/19/2013,Completed,06/20/2013,13-00782009,Sanitation Code Violation,Standing water,4946 W SCHOOL ST,60641,1142810.16523175,1921485.4141912,38,16,15,41.940605276964924,-87.75053269399591,"(41.940605276964924, -87.75053269399591)"
06/19/2013,Completed,06/21/2013,13-00783166,Sanitation Code Violation,Standing water,1256 W FOSTER AVE,60640,1166906.16013057,1934668.52717161,48,20,77,41.97629656921096,-87.66159159870017,"(41.97629656921096, -87.66159159870017)"
06/19/2013,Completed,06/21/2013,13-00785777,Sanitation Code Violation,Standing water,11348 S LOTHAIR AVE,60643,1164104.19028157,1829315.01620057,19,22,75,41.68725513809714,-87.67486523013295,"(41.68725513809714, -87.67486523013295)"
06/19/2013,Completed,06/21/2013,13-00787951,Sanitation Code Violation,Standing water,6611 S KNOX AVE,60629,1146517.41172357,1860363.7871334,13,8,64,41.77280970892975,-87.73846348993274,"(41.77280970892975, -87.73846348993274)"
06/23/2013,Completed,06/24/2013,13-00805486,Sanitation Code Violation,Standing water,1614 W FARWELL AVE,60626,1164405.76729567,1945695.99948651,49,24,1,42.00660970230844,-87.67047263178019,"(42.00660970230844, -87.67047263178019)"
06/24/2013,Completed,06/25/2013,13-00813131,Sanitation Code Violation,Standing water,2313 N SPAULDING AVE,60647,1153767.51432005,1915180.55548756,35,14,22,41.92309276551239,-87.7104286571947,"(41.92309276551239, -87.7104286571947)"
06/25/2013,Completed,06/26/2013,13-00825298,Sanitation Code Violation,Standing water,116 N DEARBORN ST,60602,1175927.00668311,1900957.58077776,42,1,32,41.883593678681,-87.62943636663616,"(41.883593678681, -87.62943636663616)"
06/25/2013,Completed,06/26/2013,13-00825389,Sanitation Code Violation,Standing water,3409 S LITUANICA AVE,60608,1170863.33302229,1882300.65909312,11,9,60,41.832510062437535,-87.64857681734584,"(41.832510062437535, -87.64857681734584)"
06/26/2013,Completed,06/27/2013,13-00833391,Sanitation Code Violation,Standing water,6115 W WARWICK AVE,60634,1134933.57951278,1924298.66689582,38,16,17,41.94846843910987,-87.77941555923948,"(41.94846843910987, -87.77941555923948)"
06/26/2013,Completed,06/28/2013,13-00833977,Sanitation Code Violation,Standing water,2141 N FREMONT ST,60614,1169940.31547619,1914436.20228238,43,18,7,41.920712472201174,-87.65102615343696,"(41.920712472201174, -87.65102615343696)"
06/28/2013,Completed - Dup,07/01/2013,13-00850222,Sanitation Code Violation,Standing water,7539 W DEVON AVE,60631,1125199.2869067,1941932.780711,41,16,10,41.99702542196467,-87.81480533736628,"(41.99702542196467, -87.81480533736628)"
06/26/2013,Completed,07/02/2013,13-00826923,Sanitation Code Violation,Standing water,2552 N SPAULDING AVE,60647,1153644.53392697,1916772.35797907,35,14,22,41.927463252389664,-87.71083807170142,"(41.927463252389664, -87.71083807170142)"
06/30/2013,Completed,07/09/2013,13-00854240,Sanitation Code Violation,Standing water,731 E 105TH ST,60628,1182998.50351694,1835490.12697181,9,5,50,41.70378333513524,-87.60550494124006,"(41.70378333513524, -87.60550494124006)"
06/30/2013,Completed,07/09/2013,13-00855848,Sanitation Code Violation,Standing water,4523 N LAPORTE AVE,60630,1142550.98350874,1929617.28519575,45,16,15,41.962924691180454,-87.75128231000367,"(41.962924691180454, -87.75128231000367)"
